               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.038744,           0.0087716,            0.012769,             0.76366,             0.88119,             0.91634,             0.55675,            0.013476,           0.0026486,           0.0014633,            0.007063,            0.007063,            0.007063
                  91,            0.031915,            0.010095,            0.011574,              0.9447,             0.95019,               0.995,             0.67625,           0.0099311,           0.0025539,            0.001564,             0.00703,             0.00703,             0.00703
                  92,             0.04071,           0.0082151,            0.011902,             0.94972,             0.96078,               0.995,             0.70574,           0.0087843,           0.0024555,           0.0012001,            0.006997,            0.006997,            0.006997
                  93,            0.030819,            0.010788,            0.011237,             0.93388,                   1,               0.995,             0.57699,            0.014557,           0.0024811,          0.00078583,            0.006964,            0.006964,            0.006964
                  94,            0.024823,           0.0078921,           0.0065784,             0.84606,             0.97705,               0.995,             0.83473,           0.0092422,           0.0023183,          0.00075836,            0.006931,            0.006931,            0.006931
                  95,            0.028511,           0.0094521,            0.014992,             0.82325,                   1,               0.995,             0.65108,            0.010951,           0.0023209,          0.00075302,            0.006898,            0.006898,            0.006898
                  96,             0.03211,           0.0096239,            0.014514,             0.83354,                   1,             0.95375,             0.77541,           0.0091137,           0.0024622,          0.00077782,            0.006865,            0.006865,            0.006865
                  97,            0.035741,           0.0089824,           0.0083558,              0.9198,                   1,               0.995,             0.48958,            0.017181,           0.0025548,          0.00081177,            0.006832,            0.006832,            0.006832
                  98,            0.038245,           0.0090672,             0.01666,             0.91732,                   1,               0.995,             0.65945,            0.010223,           0.0024396,          0.00078278,            0.006799,            0.006799,            0.006799
                  99,            0.018172,           0.0068543,           0.0069146,             0.81921,                   1,               0.995,             0.79329,            0.010642,           0.0024557,          0.00085983,            0.006766,            0.006766,            0.006766
                 100,            0.025935,           0.0083895,             0.01006,             0.91113,                   1,               0.995,             0.75136,           0.0078235,           0.0026391,          0.00090408,            0.006733,            0.006733,            0.006733
                 101,             0.04028,           0.0097282,            0.012336,             0.80761,                   1,               0.995,             0.73565,           0.0089851,           0.0030888,          0.00082932,              0.0067,              0.0067,              0.0067
                 102,            0.030055,           0.0082837,            0.017624,             0.93343,                   1,               0.995,             0.72891,           0.0073328,           0.0031654,          0.00078735,            0.006667,            0.006667,            0.006667
                 103,            0.018603,           0.0089536,           0.0069653,             0.92161,              0.9807,               0.995,             0.63836,            0.013021,           0.0029751,          0.00082016,            0.006634,            0.006634,            0.006634
                 104,            0.048524,           0.0083789,            0.020323,             0.90744,                   1,               0.995,             0.66152,            0.011793,           0.0029805,          0.00075531,            0.006601,            0.006601,            0.006601
                 105,            0.036455,           0.0081076,           0.0065816,              0.9706,                   1,               0.995,             0.78666,            0.010768,           0.0026246,          0.00063477,            0.006568,            0.006568,            0.006568
                 106,            0.042732,           0.0079166,            0.012321,             0.87192,                   1,               0.995,             0.74689,           0.0082416,           0.0024412,          0.00072289,            0.006535,            0.006535,            0.006535
                 107,             0.03061,           0.0085195,            0.010197,              0.9717,                   1,               0.995,             0.84134,           0.0076998,           0.0025938,          0.00078201,            0.006502,            0.006502,            0.006502
                 108,            0.034414,           0.0095691,            0.019261,             0.93592,             0.93485,               0.995,             0.87578,           0.0063756,           0.0025939,           0.0015213,            0.006469,            0.006469,            0.006469
                 109,            0.016642,           0.0077242,           0.0060969,             0.79395,             0.85442,             0.92033,             0.72894,            0.011838,           0.0025706,           0.0029877,            0.006436,            0.006436,            0.006436
                 110,            0.049201,            0.007575,           0.0070973,             0.82643,             0.90558,               0.935,             0.79609,           0.0063579,           0.0026849,             0.00383,            0.006403,            0.006403,            0.006403
                 111,            0.029069,           0.0077198,            0.010697,             0.85074,             0.91135,             0.93154,             0.56558,           0.0079797,           0.0025821,           0.0039673,             0.00637,             0.00637,             0.00637
                 112,            0.018443,            0.008249,           0.0040278,             0.80714,             0.91667,             0.86396,             0.72988,           0.0093403,           0.0024828,           0.0044312,            0.006337,            0.006337,            0.006337
                 113,            0.042209,           0.0085712,            0.010884,             0.88691,             0.91667,             0.88073,             0.69117,           0.0071737,           0.0025046,           0.0047577,            0.006304,            0.006304,            0.006304
                 114,            0.030405,           0.0085049,           0.0049827,             0.86442,             0.89058,             0.92706,             0.83623,           0.0086704,           0.0027251,           0.0046112,            0.006271,            0.006271,            0.006271
                 115,             0.05396,           0.0091214,           0.0085877,             0.83454,             0.90807,             0.93018,             0.80019,           0.0096149,           0.0027668,           0.0042542,            0.006238,            0.006238,            0.006238
                 116,            0.039762,           0.0082471,           0.0049174,             0.80175,             0.90437,             0.95375,             0.74887,           0.0087374,           0.0028021,           0.0036224,            0.006205,            0.006205,            0.006205
                 117,            0.025068,           0.0081921,           0.0056683,             0.89713,             0.95941,               0.995,             0.77865,           0.0099614,           0.0026913,           0.0025742,            0.006172,            0.006172,            0.006172
                 118,             0.02037,           0.0079942,           0.0048102,             0.84177,              0.9781,             0.97438,             0.74213,             0.01024,           0.0026151,           0.0019272,            0.006139,            0.006139,            0.006139
                 119,            0.044355,            0.011092,           0.0080765,             0.88655,                   1,             0.97438,             0.86912,           0.0071963,           0.0025136,           0.0013397,            0.006106,            0.006106,            0.006106
                 120,            0.028528,           0.0098031,             0.02062,             0.93921,             0.96649,               0.995,              0.8071,           0.0073618,            0.002813,           0.0013382,            0.006073,            0.006073,            0.006073
                 121,            0.028711,           0.0091011,            0.014548,             0.93998,             0.98267,               0.995,             0.84471,           0.0058564,           0.0026616,           0.0011963,             0.00604,             0.00604,             0.00604
                 122,            0.029455,           0.0089668,            0.009183,             0.90457,             0.99426,             0.97438,             0.79691,             0.01023,           0.0025804,           0.0010796,            0.006007,            0.006007,            0.006007
                 123,             0.03127,           0.0084978,           0.0065922,             0.95958,             0.99037,               0.995,             0.75614,           0.0076815,           0.0025924,          0.00098801,            0.005974,            0.005974,            0.005974
                 124,            0.030673,           0.0087441,           0.0095829,             0.95984,             0.98752,               0.995,             0.81124,           0.0080196,           0.0025681,           0.0010223,            0.005941,            0.005941,            0.005941
                 125,            0.032818,           0.0075131,            0.015101,             0.95895,             0.98192,               0.995,             0.81927,           0.0067339,           0.0027746,          0.00093765,            0.005908,            0.005908,            0.005908
                 126,            0.030893,           0.0082053,           0.0094874,             0.96168,             0.98847,               0.995,              0.8522,            0.006713,           0.0025251,          0.00082855,            0.005875,            0.005875,            0.005875
                 127,            0.023747,           0.0081533,            0.009009,              0.9658,                   1,               0.995,             0.87349,           0.0069963,           0.0022976,           0.0007412,            0.005842,            0.005842,            0.005842
                 128,            0.031266,           0.0076584,           0.0056236,             0.96186,                   1,               0.995,             0.82508,           0.0075697,           0.0023717,          0.00073662,            0.005809,            0.005809,            0.005809
                 129,            0.026294,           0.0075625,            0.005955,             0.96256,                   1,               0.995,             0.82102,           0.0066974,           0.0024205,            0.000737,            0.005776,            0.005776,            0.005776
                 130,            0.027888,           0.0085525,           0.0082559,             0.96052,                   1,               0.995,             0.86064,           0.0054502,           0.0022802,          0.00077477,            0.005743,            0.005743,            0.005743
                 131,            0.054983,           0.0069946,           0.0071968,             0.96093,                   1,               0.995,             0.89991,            0.004898,           0.0021818,          0.00075951,             0.00571,             0.00571,             0.00571
                 132,            0.022818,           0.0086848,            0.011536,             0.96008,             0.99867,               0.995,             0.89784,           0.0046318,           0.0022854,          0.00072098,            0.005677,            0.005677,            0.005677
                 133,            0.033947,           0.0077533,           0.0057054,             0.96428,                   1,               0.995,             0.78294,           0.0082325,           0.0023787,          0.00068741,            0.005644,            0.005644,            0.005644
                 134,            0.045391,           0.0087141,            0.017189,             0.97237,                   1,               0.995,             0.84866,           0.0059461,           0.0022863,          0.00067444,            0.005611,            0.005611,            0.005611
                 135,            0.038784,            0.007262,            0.022683,             0.94781,                   1,               0.995,             0.84614,           0.0052561,           0.0023383,          0.00081558,            0.005578,            0.005578,            0.005578
                 136,             0.04748,           0.0079296,            0.023039,             0.93252,             0.99815,               0.995,             0.85564,            0.005585,           0.0024692,          0.00093613,            0.005545,            0.005545,            0.005545
                 137,            0.040861,           0.0084051,             0.01933,             0.92846,             0.98159,               0.995,             0.85222,           0.0058097,           0.0025827,           0.0010025,            0.005512,            0.005512,            0.005512
                 138,            0.026236,           0.0078959,             0.02493,             0.97417,                   1,               0.995,             0.82604,           0.0061458,           0.0025939,          0.00066643,            0.005479,            0.005479,            0.005479
                 139,             0.03334,           0.0094463,           0.0070597,             0.97837,             0.99413,               0.995,             0.75027,           0.0089784,           0.0025665,          0.00060272,            0.005446,            0.005446,            0.005446
                 140,            0.053636,           0.0083169,           0.0060835,             0.97488,                   1,               0.995,              0.8624,            0.005918,           0.0024515,          0.00056038,            0.005413,            0.005413,            0.005413
                 141,            0.033443,           0.0085884,           0.0053622,             0.96542,                   1,               0.995,             0.85373,           0.0083644,           0.0025271,          0.00049896,             0.00538,             0.00538,             0.00538
                 142,            0.017167,           0.0086403,           0.0037382,             0.95563,                   1,               0.995,              0.8811,           0.0053761,           0.0024227,           0.0005291,            0.005347,            0.005347,            0.005347
                 143,            0.031483,           0.0093604,           0.0079569,             0.95911,                   1,               0.995,              0.7573,           0.0090869,           0.0025028,          0.00052223,            0.005314,            0.005314,            0.005314
                 144,            0.032076,           0.0067279,           0.0062251,             0.95889,                   1,               0.995,              0.8549,           0.0078549,           0.0024126,          0.00056458,            0.005281,            0.005281,            0.005281
                 145,             0.01823,           0.0075402,           0.0047611,             0.94653,                   1,               0.995,             0.77721,           0.0080232,           0.0025022,          0.00052528,            0.005248,            0.005248,            0.005248
                 146,            0.030134,           0.0077039,           0.0091253,             0.92711,             0.99223,               0.995,             0.85701,           0.0053863,           0.0025152,          0.00052948,            0.005215,            0.005215,            0.005215
